,Description,Course URL,Assessment of Sustainability Focused or Inclusive,Justification for classification (including quotes from syllabi/course descriptions where applicable),Course Title
942,"Examining museums in global history gives critical insight into their present role in society. Museums were sites of identity at local, regional, national, imperial and global levels. The collection and display of objects allowed communities, states, and empires to use cultural heritage, history, and science to interpret the past. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=244&p_subj=HIST,N,1,Museums In World History
943,"Survey of the Civil War era from 1848 to 1876. Topics include the causes of the war; the mobilization of Northern and Southern armies; race, slavery and emancipation; Reconstruction; the Civil War in contemporary popular culture and memory; and the global dimensions of the war and its aftermath. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=246&p_subj=HIST,N,1,American Civil War Era
944,"An exploration of themes essential to understanding modern Brazil, such as the origins of a multi-racial society, the transition from monoculture to industry, authoritarian and democratic trends, the emergence of a uniquely Brazilian culture, and the conflicts - environmental, political, and economic - over the development of the Amazon. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=251&p_subj=HIST,N,0,Brazil: Continuity & Change
945,"Examination of European history in the age of total war. Includes imperialism and the development of the welfare state, institutional responses to the demands of total warfare, the crisis of liberal constitutionalism, the Russian Revolution, and the rise of fascism. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=256&p_subj=HIST,N,0,"European Politics & Society, 1890-1945"
946,"A political, cultural and economic history of the 1960s and 70s, with special attention to American culture and public policy. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=259&p_subj=HIST,N,1,Us In The 1960S And 70S
947,"Course will explore the Founding Fathers' attitudes towards slaves, towards slavery, and towards racial difference, beginning with interpretations of the Founders as a group, and moving to case studies of individual founders. Students will write a paper about the engagement with slavery of one person from the founding generation. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=266&p_subj=HIST,N,0,Slavery And The Founding Fathers
948,"Slavery has re-emerged as a global issue in the 21st century. This course explores various forms of slavery and slave trades globally from the 19th century to the present, examining the emergence of contemporary human trafficking. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=268&p_subj=HIST,N,1,Modern Slavery And Trafficking
949,"Introduction to the history of the cultural, religious, economic and political systems of South Asia, beginning with the development of world religious systems such as Hinduism and Buddhism, indigenous state-building, the rise of Islamic power, emergent European colonialism, and subsequent resistance movements which resulted in South Asian independence in mid-20th century.
 ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=271&p_subj=HIST,N,0,History Of South Asia
950,"This course is an introduction to the history of the Modern Middle East: the Arab countries of the Levant and North Africa, as well as Turkey, Iran, and Israel. It covers the main events that shaped the region from the final years of the Ottoman empire, to the creation of the nation-states by Western colonialism, to the struggles for independence and decolonization. The course tackles some of the following themes: reform and modernization in the Ottoman Empire; World War One and its impact on the Middle East; the emergence of a new world order, and modern states and their political systems since World War I; and the transformation of Middle Eastern societies during this same period under the impact of colonialism, independence, regional wars, and oil. It also sheds light on particular social and cultural phenomena: the role of women in society; changing notions of gender roles; class formation and relations; and cultural expressions through art, literature and new modes and spaces of sociability. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=275&p_subj=HIST,N,1,Modern Middle East
951,"Survey of the history and culture of the Arab world from World War I to the present. Topics include nationalism, colonialism, modern secular and Islamist politics and the ""Arab Spring."" ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=278&p_subj=HIST,N,1,Modern Arab History
952,"Course will study the American presidency and the evolving use of executive power from Theodore Roosevelt to Bill Clinton. It will analyze how presidents develop foreign and domestic policy, relate to congress and their cabinets, and lead the nation in wartime. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=291&p_subj=HIST,N,0,20Th Century American Presidents
953," Survey of the American South from development of Native American cultures to present. Topics include slavery and plantation economy; emergence of southern distinctiveness; Civil War and Reconstruction; political reform and the civil rights movement; rise of the Sunbelt, southern religion, music, and literature; and the future of southern regionalism.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=295&p_subj=HIST,N,0,The American South
954,Provides students with a deeper understanding of the history of African slavery in the Americas by allowing them to step in the shoes of late-eighteenth century abolitionists and fight the Atlantic slave trade. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=301&p_subj=HIST,N,0,Fighting The Slave Trade
955,"Work in the modern world is about earning a living, identity, creativity, morality, and much more. This course emphasizes discussion and writing about a common set of assigned readings. We read Adam Smith, Karl Marx, and other classic texts on work as well as important recent monographs on the experiences and meanings of work. The authors and settings of our readings are mostly European, but also extend to the Americas and other colonial and postcolonial societies since 1492. This class is useful for students who are pre-law, pre-HUM grad, or interested in economics or social theory. HIST 445 Writing Histories of Work is complementary to this course, but one does not require the other. While this course emphasizes longer, complex assigned texts and analysis, HIST 445 has fewer common readings and emphasizes individual research projects on student-chosen topics. The assignments for these two courses do not overlap. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=305&p_subj=HIST,N,1,Reading Histories Of Work
956,"This class surveys the body, health, and healing in ancient, medieval, early modern, and modern periods. It compares regional and transnational practices to learn about how physicians, laypeople, women, and men understood and recovered from illnesses. This course moves chronemically and thematically to cover different bodily processes. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=310&p_subj=HIST,N,1,Body In Global History Of Medicine
957,"What did it mean to be child, woman, or man in Europe between 1300 and 1700? This course explores the experiences of nuns, soldiers, courtesans, sodomites, apprentices, witches, and slaves. It examines the construction of sexual identity in a period of dramatic change and increasing entanglement with non-Christian cultures. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=311&p_subj=HIST,N,0,"Sex & Gender In Europe, 1300-1700"
958, ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=312&p_subj=HIST,N,0,Envionment & Health In Latin America
959,"This course covers the history of artificial intelligence from three perspectives: its technical development, the philosophy behind it, and its impact on society. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=314&p_subj=HIST,N,0,History Of Ai
960,"Explores the use of computers and new media to conduct historical research and communicate its results. While working on their own digital projects, students will consider questions like: How should history be written in the age of Google? How will historians deal with primary sources like tweets and blogs? ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=318&p_subj=HIST,N,0,Digital History Methods
961,An introduction to the interaction between humans and the natural environment in the present United States from the colonial era to recent environmentalism. The course will center on discussion and writing; readings will include primary sources as well as secondary analysis. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=321&p_subj=HIST,N,2,Us Environmental History
962,Provides students with a deeper understanding of the history of Atlantic Africa by researching key topics based on primary and secondary sources. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=323&p_subj=HIST,N,0,Atlantic Africa
963,"Course explores the history of the Iberian Peninsula from late Antiquity to the early 16th century, focusing on coexistence and conflict between medieval Spain's three religious communities - Christians, Jews, and Muslims. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=324&p_subj=HIST,N,0,Coexistence In Medieval Spain
964,"Courses examines the military, political, social and cultural developments on the European frontiers between 500-1500 AD. Topics include colonization and conquest, crusades and Spanish Reconquista, piracy, slavery, encounters with native peoples, spread of Christianity, medieval colonial regimes, map-making and cultural exchanges.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=327&p_subj=HIST,N,1,Medieval Borderlands
965,"Course surveys the economic, political, social, environmental and geographic origins of poverty and inequality in Latin American countries since independence. It compares welfare policies to promote social justices across these nations and examines their different outcomes in historical perspective. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=328&p_subj=HIST,N,2,Poverty And Social Justice
966,"Exploration of the street as a focus of urban life in 18th and 19th century. We will look at ways streets functioned as spaces of livelihood, sociability, and transgression in cities such as London, Paris, Istanbul, Amsterdam & Cairo. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=329&p_subj=ARCH,N,0,Streets And Urban Life
967,"An examination of black society, culture, and politics from the late 15th century through the late 18th century (focusing geographically on the Caribbean, and on black life within what is now Mexico and the United States).
 ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=330&p_subj=HIST,N,0,Slave Trade & Afro-America
968,"This survey of American legal history begins with the Emancipation Proclamation and ends near the present. Legal themes covered are related to major political, economic, and social developments that have shaped the U.S. since 1863: the civil war's outcome and abolition of slavery; the organization of an industrial economy; U.S. ascendancy in the world; and the social movements of the late nineteenth and twentieth centuries. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=332&p_subj=HIST,N,1,American Legal History
969,"Through an analysis of sea charts, maps, paintings, and city and town plans this course traces the changes in Latin American peoples, landscapes, and settlements from the time of contact (1492) to independence in the early 19th century. Attention will be given to European, Indigenous, and emerging ""Latin American"" perspectives.
 ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=337&p_subj=HIST,N,0,Latin American Perspectives
970,This course examines the experiences of women in the United States during the nineteenth century through first-hand accounts and scholarly readings. Students will ready a variety of materials to explore the social and legal status of women and consider the impact of race on women's lives.,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=338&p_subj=HIST,N,1,19Th Century Women'S Narratives
971," Students will to read, write and think about the history of people who left few written records by focusing on the history of enslaved people in the 18th and 19th century Americas. They will read primary sources, examine different historians' competing interpretations of specific topics, and write a paper using primary sources to understand the lives of enslaved people. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=339&p_subj=HIST,N,0,History Of Slave Experience
972,"Explores feminism as political thought and social movement in various times and places. Readings will include classic as well as non-canonical texts. We will consider the historical contexts of feminist action, and examine controversies over and within feminisms",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=340&p_subj=HIST,N,1,History Of Feminism
973,"This course traces the development of computer technology from its theoretical origins in the nineteenth century; to the growth of digital technology; the emergence of personal computing; up to computers of today, in order to understand the place of computer technology in people's lives and how they shape each other. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=346&p_subj=HIST,N,1,Computers And Society
974,"This course examines the changing nature of black society, culture, and politics in the United States from the census of 1890 through the attack on Pearl Harbor. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=347&p_subj=HIST,N,1,Black America: The Nadir
975,"Survey of major economic, social, and political developments in the United States from 1900 to 1940.
 ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=350&p_subj=HIST,N,0,"America, 1900-1940"
976,"Survey of major economic, social and political developments in the United States since 1945. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=351&p_subj=HIST,N,1,America Since 1945
977,"Course will cover Russo-American relations from the end of World War II to the collapse of the Soviet Union in 1989, profiling the major policymakers and world leaders and exploring not only the diplomatic and military operations but also the cultural landscape of the Cold War. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=352&p_subj=HIST,N,0,History Of The Cold War
978,"From 1890-1945, Germans experienced dramatic changes in their political environment. This lecture class will examine these changes, taking into account not only political history, but also attempts to come to terms with the challenges posed by organized capitalism, the rise and fall of socialism, the development of an interventionist state, cultural critique, and political culture, the Nazi social revolution, and the Holocaust. Taught in English.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=345&p_subj=GERM,N,1,"German History, 1890-1945"
979,"This course surveys the history of humanitarian sentiment and practices in the West form the 19th Century to the present. It is conceived as a critical investigation of the humanitarian movement and examines various patterns of Western interventions on behalf of ""suffering humanity."" Topics covered are evangelicalism, abolitionism, colonialism and war humanitarianism, as well as United Nations humanitarianism since 1945. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=358&p_subj=HIST,N,0,Humanitarianism From 19Th Century
980,"Overview of the United States interactions with the wider world in the 20th century. Impact of international affairs on the evolution of U.S. Domestic institutions, changing ideas about the United States' role in the world as articulated and practiced by key public figures, private-sector activists, intellectuals, and citizens at large. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=359&p_subj=HIST,N,0,Us In The 20Th Century World
981,"Study and analysis of world economy focusing on the economic expansion of Western countries between the 14th and 21st centuries. Emphasis on contextual changes in economy, geography, history, society, culture, religion and politics in determining economic leadership of certain economies, such as Italy, Portugal, Spain, the United Kingdom, Belgium, the Netherlands, France, Germany, Sweden, the United States and Japan.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=365&p_subj=ECON,N,0,World Economic History
982,The development of Rio de Janeiro from a colonial capital to an Olympic host with emphasis on the peoples of the city and evolution of the urban panorama.,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=366&p_subj=ARCH,N,0,Rio De Janeiro
983,"Study of transformations in French society, culture, and politics from the French Revolution to the end of the 20th century. Taught in English. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=371&p_subj=HIST,N,0,History Of Modern France
984,How did modern states organize and regulate immigration in the modern era? Lecture course explores the comparative history of labor migration and forced displacement from the point of view of state policies in the United States and Western Europe from 1800 to the present. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=372&p_subj=HIST,N,0,Immigration And The State
985,"Social and political thinkers of the 19th century confronted revolutionary change in both politics and society: the demand for democracy as well as the challenges associated with industrial capitalism. Course combines lectures with discussion of original sources, including Smith, Mill, Marx, Proudhon, Wollstonecraft, and Weber. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=373&p_subj=HIST,Y,1,19Th Century Soc/Political Thought
986,"History of the Jews' expulsion from Spain to the establishment of the state of Israel. Life in western and eastern Europe as well as in Islamic countries, seen from the perspective of settlement, assimilation, and the particularities of the Jewish historical experience. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=374&p_subj=HIST,N,0,"Jewish History, 1500-1948"
987,"Investigation of the emergence, triumph, and defeat of romanticism as a major cultural force in European history, with emphasis on national and epochal diversity within Romanticism in Britain, Germany, and France. Includes Rousseau, Goethe, Schiller, Schlegel, Schelling, Wordsworth, Coleridge, Byron, Stendhal, Hugo, and Baudelaire, as well as music and art. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=375&p_subj=HIST,N,0,European Romanticism 1750-1850
988,"Using the textbook ""The Modern Girl Around the World,"" this course examines the phenomenon of the so-called modern girl in Asia and the world, 1890-1949. Topics include: modernity, consumer culture, sexuality, and liberation.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=328&p_subj=ASIA,N,0,Modern Girl And Asia In The World
989,"This course provides an overview of the United States’ interactions with the world from the revolutionary period to the Spanish-American war. Impact of international affairs on the evolution of U.S. domestic institutions, changing ideas about America’s role in the world by key political figures, private-sector activists, intellectuals, and citizens at large. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=387&p_subj=HIST,N,0,Us In The World: 1750-1900
990,"The Indian Ocean World presents an enormously varied arena of cultural exchange and interaction spanning coastal regions of Africa, the Middle East, South and Southeast Asia and Australia. Course introduces the region by examining societies and empires shaped by voyages of exploration, religious pilgrimages, trading diasporas and forced migration. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=389&p_subj=ASIA,Y,2,Indian Ocean World History
991,"This discussion- and research- based course uses history, biography, law, fiction and film to examine the experiences and images of Chinese women from the late imperial time to the present. Topics include foot-binding, matriarchy, social constructs such as the Tiger Mom and the submissive Asian woman, crime, art etc. Students will write a final paper based on primary sources, and there will be one mid-term project involving a collaborative online experience. Open to juniors and seniors. Open to others only with permission of instructor.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=402&p_subj=HIST,N,1,Chinese Women Through Time
992,"Does mass democracy presume freedom of private property, free labor, and market relations as fundamental rights of the individual? Or does the market mean capital's domination over individuals, negating democracy? Does democratic ""freedom"" involve restraining capitalism? Or does capitalism involve limiting democracy through undemocratic institutions like rights and central banks? ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=405&p_subj=HIST,N,0,Democracy And Capitalism
993,"Seminar examines the origins of the political left and its global manifestations in the 20th century world. Focusing especially on the global south, the seminar explores the ways marginalized groups interpreted and applied leftist politics to build international solidarities against capitalism but also imperialism, fascism, and patriarchy. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=406&p_subj=HIST,N,2,The Global Left
994," Examines the expansion and eradication of slavery in the Atlantic world during the 19th century. Special emphasis given to history of enslaved resistance, slaveholders, and abolitionists. Considers the influence of slavery on the cultural, economic, and political developments of Atlantic societies from the Haitian Revolution (1791) to Brazilian abolition (1888). ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=407&p_subj=HIST,N,0,Slavery In The Atlantic
995,"A history of Japanese imperialism starting in the mid-19th century and ending in the 1990s and the end of the ""bubble economy."" Economic, political, intellectual history. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=408&p_subj=HIST,N,0,The Japanese Empire
996,"This course explores the relationship between international law and empire, from about 1500 to 1914. In a period of expanding Western domination, international law formed, serving partly as a critical as well as apologetic discourse for Western imperialism. The seminar examines key primary sources and recent scholarship concerning this topic. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=412&p_subj=HIST,N,0,Empire And International Law
997,"The development of travel and travel narratives from the early medieval period through the 20th century, identifying why people travel and how those motives change over time. Examining spiritual journeys; fear and desire; the foreign gaze (east looking west); fictitious and vicarious travelling; geography/ethnography; antiquarianism; the gendered path; divine landscapes and the search for the authentic. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=413&p_subj=HIST,N,0,History Of Travel
998,"An examination of the exigencies of African American life from the Reagan era to the age of Obama. A reading- and writing-intensive seminar focusing on selected issues in black culture, politics, and community in the United States since the climax of the civil rights movement. Open to juniors and seniors. Open to others only with permission of instructor. (Please note that class rank is determined by year of matriculation, not credits.) ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=416&p_subj=HIST,N,1,Contemporary African American History
999,"This course is an advanced undergraduate seminar examining the history of Mexico from Independence to the Present. It addresses topics including the war of Independence (1810-1821), civil wars and foreign invasions in the nineteenth and twentieth centuries, as well as social, cultural religious, political and economic transformations.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=420&p_subj=HIST,N,0,Mexican History
1000,"An examination of urban life and education since the decision in Brown v. Board. Seminar focuses on the Brown cases, the development of the post war city in the context of American race relations, the course of court-ordered desegregation, and the impact of recent reforms on urban schools and neighborhoods. Open to juniors and seniors. Open to others only with permission of instructor. (Please note that class rank is determined by year of matriculation, not credits.) ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=421&p_subj=HIST,N,2,"Race, Education, & Society"
1001,"
Seminar on radicals and reformers in American history. Readings vary and will focus on a selected group of reformers, such as abolitionists, labor radicals, socialists, feminists, pacifists, Progressives, environmentalists, or health reformers. Students may conduct original research for a thesis-driven paper related to course themes. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=423&p_subj=HIST,N,0,American Radicals & Reformers
1002,"This seminar examines the historical intersection of people with disabilities and U.S. law. We will study the fight for anti-discrimination legislation, the challenges to gaining such protections and enforcing them, the development of the disability rights movement, and the legal and social concerns facing people with disabilities today. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=426&p_subj=HIST,N,1,Disability And Us Law
1003," Examination of the modern Civil Rights movement, with emphasis on the goals and strategies of major spokespersons and leaders, as well as the achievements of the campaign. Includes the extent of its success or failure and whether or not an ""unfinished"" agenda needs to be completed. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=427&p_subj=HIST,N,0,The Civil Rights Movement
1004,"Seminar examines contemporary slavery and human trafficking in global historical context. It examines forms of gendered unfree labor that persisted after the legal abolition of slave trades and slavery. It explores the emergence of human rights discourse, activism, and law from the 19th century onwards. Houston is the contemporary case study. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=428&p_subj=HIST,N,1,Slavery And Human Trafficking
1005,This seminar reviews the history of the U.S.-Mexico borderlands while providing students opportunities to write a substantial research paper. It covers the period from the 16th century to the present and examines political and cultural issues relevant to comprehending the significance of the border for the U.S. and Mexico. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=429&p_subj=HIST,N,0,Borderlands
1006,"Seminar traces the history and politics of the Arab-Israeli conflict. Course seeks to understand how and at what costs Israeli and Palestinian nationalisms have been constructed in both Palestinian and Israeli understandings of the past and present using books, documentaries, and films. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=433&p_subj=HIST,N,0,The Arab-Israeli Conflict
1007,"Seminar explores evolution of American involvement in the Middle East from missionary origins in the early 19th century to superpower hegemony in the 20th. Puts into perspective central issues such as the U.S. role in the Arab-Israeli conflict, the question of terrorism, and the U.S. invasion/occupation of Iraq in 2003. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=436&p_subj=HIST,N,0,America In The Middle East
1008,"This reading and research seminar explores key aspects of the world history of sport from the late nineteenth century to the present. It investigates how and why sport history shaped, and was shaped by, various factors and historical forces, including cultural values, identity, economic interests and market forces and power relations between different categories of people. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=437&p_subj=HIST,N,1,Global History Of Sport
1009,"This upper level seminar looks at why and how the welfare states came into being, how they were affected by the World Wars and dictatorship, postwar expansion, and the effects of the 1970s stagflation and oil crises. Focus on Germany, Britain, and France. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=448&p_subj=HIST,N,0,West European Welfare States
1010,"This seminar examines U.S. legal issues concerning digital technologies, over the past two centuries. We will cover five legal topics: privacy, security, intellectual property, corporate regulations, and crime/vice. Students will produce original research that analyzes the relationship between law and the digital world we have constructed. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=449&p_subj=HIST,N,0,Law In The Digital World
1011,"Seminar brings together four leading examples of modern revolution in the western world: the American Revolution, the French Revolution of 1789, the Russian Revolution of October 1917, and the Eastern European revolutions of 1989. Topics include: revolutionary subjects, reactionaries, terror, law, and constitutions. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=457&p_subj=HIST,N,0,Four Modern Revolutiosn
1012,Seminar on selected topics in Latin American history. Contents vary. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=478&p_subj=HIST,N,0,Topics Latin American History
1013,"An examination of how African Americans become a largely urban people in the twentieth century, how their urbanization affects the nature and prospect of US cities, and how the demands and opportunities of city life contribute changing meanings of blackness in American life. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=484&p_subj=HIST,N,1,Black City
1014,"Seminar will examine the validity of the notion of age-old religious and tribal violence in the region, relate the nature of religious violence in the Ottoman Empire to Zionism in Palestine and sectarianism in Lebanon, and analyze the sectarian struggle in contemporary Iraq in light of the American occupation. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=491&p_subj=HIST,N,1,Middle East Sectarianism
1015,"Research seminar examining not only the respective modernizing experiences of Japan and China in the 19th and 20th centuries, but also the way that developments in one country influenced developments in the other. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=495&p_subj=HIST,N,0,Modernization Of China And Japan
1016,"Research seminar focused especially on recovering and analyzing the black experience at Rice University with final projects based on oral histories and primary source research. Open to juniors and seniors, and to others with the permission of the instructor. Part of the Task Force on Slavery, Segregation and Racial Injustice. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=499&p_subj=HIST,N,0,Black At Rice
1017,This reading course consists of texts that focus on women and gender in indigenous history from the colonial period to the early twentieth century. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=501&p_subj=HIST,N,0,Native Women'S History
1018,A reading seminar in the history of Early America (1450-1820) with an emphasis on its multifarious interactions with the wider world. Seminar participants will read books that have inaugurated key developments in the field of Early American history. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=502&p_subj=HIST,N,0,Early America And The World
